Date,Close,SMA,Change
2018-06-08,3849.45,3845.2452,0.10923118887113685
2018-06-07,3832.6499,3843.1605,-0.27423845835749483
2018-06-06,3767.25,3841.5392,-1.971974251775172
2018-06-05,3722.5,3840.5167,-3.170361316319681
2018-06-04,3769.3501,3839.8597,-1.8706036353587814
2018-06-01,3823.25,3838.298,-0.39359183940364284
2018-05-31,3942.8999,3836.409,2.7008268711057
2018-05-30,3763.8,3834.459,-1.8773314203730178
2018-05-29,3809.1499,3833.483,-0.638806574663819
2018-05-28,3853.8999,3832.4135,0.557523562041655
